motor_key,motor_label,rated_power_kw,scenario,file_tag,foc_p_in_full_w,mic_p_in_full_w,saving_full_pct,foc_p_shaft_full_w,mic_p_shaft_full_w,foc_eta_full,mic_eta_full,eta_gain_full_pct,foc_mae_full,mic_mae_full,mae_ratio_full,foc_p_in_steady_w,mic_p_in_steady_w,saving_steady_pct,foc_eta_steady,mic_eta_steady,eta_gain_steady_pct,foc_mae_steady,mic_mae_steady,energy_in_foc_j,energy_in_mic_j,energy_shaft_foc_j,energy_shaft_mic_j
air56,"АИР56 0,25 кВт",0.25,hold:0.8,hold_0p8,104.85329452644635,103.38360097375327,1.401666546893654,81.3535527177638,81.81400830454595,0.7758704710671988,0.7913509477388743,1.995239830481288,50.88191138073663,50.07355044245476,0.9841129997606987,87.62018126320184,86.02241816871482,1.8235103733550972,0.8860573114827647,0.8879937140476201,0.21854145773199107,0.247196559906015,0.2653213054895983,209.68672249927747,206.73883634496912,162.6897361620514,163.60297407602334
air56,"АИР56 0,25 кВт",0.25,speed_step,speed_step,103.76743138210787,102.33900870496603,1.3765616611264964,80.22497348709922,80.74241666295644,0.7731089994591991,0.7889580110120976,2.0500358376354555,40.43329095438914,39.51528258988977,0.9772957297605349,94.06381900319184,89.37570980230048,4.983966471457302,0.8816427253481637,0.8864533114880585,0.5456389534655548,0.29653292338052867,0.18119141254671767,207.50988753210447,204.6527445195644,160.42776152783622,161.4624222643225
air56,"АИР56 0,25 кВт",0.25,ramp,ramp,135.294361751238,132.68867649175115,1.9259378038811725,107.88769759313573,107.84720494163354,0.7974191641449264,0.8127736068217386,1.9255171391920012,29.337381395958364,28.821000011273465,0.9823985182005359,190.48926465166798,182.41588136127686,4.238235317436001,0.8790746825321097,0.8885769332176553,1.0809378172711215,10.524995365142821,11.657649405665607,270.56365064307477,265.34773383430297,215.75264014380056,215.66763469048112
air56,"АИР56 0,25 кВт",0.25,load_profile,load_profile,109.72724853267975,108.08795673766214,1.4939696537905833,86.0041972981946,86.6257724840934,0.7837943979165428,0.8014323093823302,2.250323747231664,50.47383448739734,49.56789500879217,0.9820513046451549,98.97456456471888,94.78842745199341,4.229507986355596,0.8779140590476642,0.8841689659219716,0.7124737108199941,0.6491074816385866,0.5769943290564054,219.441091232466,216.1596945872062,171.99669798069982,173.23736322840384
air56,"АИР56 0,25 кВт",0.25,start_stop,start_stop,174.65730636815266,166.27035057611255,4.801949581405774,85.46002391617303,83.3452496039331,0.4904363673937584,0.5025745663464071,2.4749793774781814,60.391351485110356,59.6962989038429,0.9884908589694532,230.39461747771955,214.45595239218557,6.917985003306482,0.856887427312857,0.8729678523061025,1.8766088147275761,31.315773730807834,30.381844568120847,348.50606357073207,331.6731692565492,170.92004783232807,166.6904992078487
al31,"АЛ-31-4 0,6 кВт",0.6,hold:0.8,hold_0p8,280.08312402334974,272.0237546557635,2.877491957321332,205.69948645140028,206.7085141885526,0.7343948298228593,0.759869678989453,3.468821964982838,29.291030947722486,28.499410566141414,0.9729739665703837,185.9812787957501,186.631526726801,-0.34963085277257555,0.8969229267437833,0.8968557740717996,-0.007487005848705319,0.04365142822264694,0.019727216330793263,560.0637685321229,543.9489711250726,411.30793598109767,413.33033007545214
al31,"АЛ-31-4 0,6 кВт",0.6,speed_step,speed_step,275.74157256051546,267.66347257607254,2.929590888102329,198.61699927529256,199.2508987626702,0.7202736257669028,0.7443796755251383,3.346790566233615,22.923437879454337,22.325947066951386,0.9739353749797509,185.2367487727023,185.78489772112772,-0.29591803573385533,0.8965681869469035,0.8967617926560273,0.021594086422260794,0.10131285349526689,0.06321751284870454,551.3952277086186,535.2288449842437,397.1554398922537,398.41347396106585
al31,"АЛ-31-4 0,6 кВт",0.6,ramp,ramp,347.169566721095,337.88270997201266,2.675020404810746,269.8329736201133,270.2624051780911,0.7772146706482581,0.7998520007363564,2.9126225923163496,3.54301518920809,3.1356956621986165,0.885035907198435,229.6697920082391,228.42124132421662,0.5436286039644744,0.9164596360052745,0.9164141845570587,-0.004959459907460939,0.616667251586914,0.6594042366073423,694.226136967338,675.6502908421079,539.5627383984821,540.4202369281611
al31,"АЛ-31-4 0,6 кВт",0.6,load_profile,load_profile,291.7951300314884,283.640784635377,2.7945447188345685,219.71207436881204,220.40220757403057,0.752951158974898,0.777033270326403,3.1983630099316818,28.161638588604514,27.482742099504456,0.9758928626626587,192.74278049871765,193.19958446203668,-0.23700185404458285,0.8953246184796323,0.8952785394038617,-0.005146633390784583,0.23758244832355302,0.27058864067866256,583.5052812362608,567.2006832381572,439.35097777481633,440.7338018279155
al31,"АЛ-31-4 0,6 кВт",0.6,start_stop,start_stop,455.6774660750995,430.1416999188375,5.603912428720692,252.8807568147562,238.52017697062212,0.556307795371249,0.5562503714126302,-0.010322335781831615,28.64423040614277,27.233902248792617,0.9507639710561849,240.3300634937082,240.129945582035,0.08326794773989565,0.9163812898387972,0.9164890686026411,0.011761344872374124,0.03951013353135851,0.03871517899529964,909.1161008041718,857.6000636723309,505.74837377487495,477.04035394122934
