motor_key,motor_label,rated_power_kw,config,run_dir,avg_saving_full_pct,avg_saving_steady_pct,min_saving_full_pct,avg_eta_gain_full_pct,avg_eta_gain_steady_pct,max_mae_ratio_full,avg_mae_ratio_full,foc_energy_in_total_j,mic_energy_in_total_j,foc_energy_shaft_total_j,mic_energy_shaft_total_j
air56,"АИР56 0,25 кВт",0.25,config/env_research_air56_025kw.py,paper/pgups_2026/data/traces/air56,2.200017049419536,4.438641030382096,1.3765616611264964,2.139219186403718,0.8868401508032475,0.9884908589694532,0.9828698822672756,1255.7074154776546,1224.572178542592,881.786883646716,880.6608934670795
al31,"АЛ-31-4 0,6 кВт",0.6,config/env_research_al31_4_06kw.py,paper/pgups_2026/data/traces/al31,3.3761120795579336,-0.05113083816932873,2.675020404810746,2.5832551595365305,0.0031524664295368154,0.9758928626626587,0.9517204164934826,3298.3065152485124,3179.628853861912,2293.125465821525,2269.938196733824
ao2,"АО2-32-4 3,0 кВт",3.0,config/env_research_ao2_32_4_3kw.py,paper/pgups_2026/data/traces/ao2,-0.16917068271508295,-0.47062852758247953,-0.4899323338952044,-0.1723576025971374,-0.8297161892020967,1.0232435444914512,1.0046224703465922,8176.996664399872,8184.174992162358,2671.3767017718005,2671.124228533632
