motor,policy,load_factor,p2_kw_model,p2_kw_nameplate,p2_kw_delta_pct,i1_a_model,i1_a_nameplate,i1_a_delta_pct,n2_rpm_model,n2_rpm_nameplate,n2_rpm_delta_pct,eta_pct_model,eta_pct_nameplate,eta_pct_delta_abs,cos_phi_model,cos_phi_nameplate,cos_phi_delta_abs,checkpoint_used,omega_ref_pu_used,load_csv
air56,FOC,1.0,0.1323741949555887,0.25,-47.05032201776452,0.5863226346782137,0.7,-16.239623617398042,730.7055561548499,1380.0,-47.0503220177645,53.0900989006754,75.0,-21.9099010993246,0.8362460798521045,0.68,0.15624607985210448,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260303_config_locked\raw\air56\load_characteristics.csv
air56,MIC_AI,1.0,0.1212480097939268,0.25,-51.500796082429275,0.6321617012079374,0.7,-9.69118554172323,669.2890140624762,1380.0,-51.50079608242926,49.36124854097425,75.0,-25.638751459025748,0.8863078258962518,0.68,0.20630782589625174,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260303_config_locked\raw\air56\load_characteristics.csv
al31,FOC,1.0,0.5767708609707767,0.6,-3.8715231715372167,1.612588615299981,1.7,-5.141846158824639,1336.185827915633,1390.0,-3.8715231715372016,64.08812785205401,78.0,-13.911872147945985,0.8557911775551732,0.74,0.11579117755517321,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260303_config_locked\raw\al31\load_characteristics.csv
al31,MIC_AI,1.0,0.5247921899391773,0.6,-12.534635010137112,1.357773176597225,1.7,-20.13098961192794,1215.7685733590945,1390.0,-12.534635010137087,71.42636673962708,78.0,-6.573633260372915,0.8315769968816689,0.74,0.09157699688166887,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260303_config_locked\raw\al31\load_characteristics.csv
