controller,samples,avg_power_saving_pct_mean,avg_power_saving_pct_std,avg_power_saving_pct_min,avg_power_saving_pct_max,avg_eta_gain_pct_mean,avg_eta_gain_pct_std,avg_eta_gain_pct_min,avg_eta_gain_pct_max,err_failures_mean,err_failures_std,err_failures_min,err_failures_max,start_stop_power_saving_pct_mean,start_stop_power_saving_pct_std,start_stop_power_saving_pct_min,start_stop_power_saving_pct_max,worst_current_peak_ratio_mean,worst_current_peak_ratio_std,worst_current_peak_ratio_min,worst_current_peak_ratio_max,worst_current_mean_ratio_mean,worst_current_mean_ratio_std,worst_current_mean_ratio_min,worst_current_mean_ratio_max,avg_controller_speed_err_mean,avg_controller_speed_err_std,avg_controller_speed_err_min,avg_controller_speed_err_max
FOC,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.418300901919603,5.084187275072546,0.6911568480581045,16.266247752871365
MIC,9,2.9857964170136495,5.854866602538136,-0.4855734406960299,18.716667195498168,5.773755066223852,11.269583679387832,-0.09880883713040411,34.2586624021803,2.4444444444444446,0.6849348892187752,1.0,3.0,11.24578616533232,22.6318651511123,-1.9070666216066012,72.30804547049337,1.1094030123138192,0.06973110359662991,1.0341468399392264,1.2094139987803663,1.0588274339552344,0.07898497945300925,1.0010713137724405,1.1720480448258268,6.365859614724256,6.0996781439872585,0.8154242645106748,17.193960912745087
PI,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.418300901919603,5.084187275072546,0.6911568480581045,16.266247752871365
