policy,load_torque,omega_ref,speed_err_abs,speed_err_rel,valid_speed,omega_ss,n2_rpm,i_rms,v_rms_phase,vll_rms,p_el,p_el_pos,p_el_motor_pos,p_mech,p_shaft,p2_kw,m2,eta,eta_raw,eta_pct,cos_phi,cos_phi_method,cos_phi_warning,cos_phi_phase_raw,cos_phi_line_raw,t_start,t_end,load_factor
FOC,0.3459890067215116,144.5132620651305,25.910423737086887,0.17929443545056337,0,118.60283832804362,1132.5736790782228,0.45267125072579617,186.0443049897358,320.9527186965136,213.52674512897292,213.52674512897292,209.78183273225883,181.31585164068747,41.035278227471835,0.041035278227471834,0.34598900672151156,0.19217863412232503,0.19217863412232503,19.217863412232504,0.8303234949726434,phase,,0.8303234949726434,1.4381624800107795,1.1254999999999316,1.4999999999998903,0.2
MIC_AI,0.3459890067215116,144.5132620651305,36.53045536347035,0.25278271932583246,0,107.98280670166015,1031.1598473303513,0.7010853522460674,128.89267188732788,222.4149943881984,262.000071727194,262.000071727194,254.99294651770296,172.37793695586512,37.36086403370839,0.03736086403370839,0.34598900672151167,0.14259867864696682,0.14259867864696682,14.259867864696682,0.9406061037610768,phase,,0.9406061037610768,1.6291775616235884,1.1254999999999316,1.4999999999998903,0.2
FOC,0.6919780134430232,144.5132620651305,38.879737335719696,0.2690392340475785,0,105.63352472941081,1008.7258570143418,0.4866555168523326,181.03034404494596,312.2868754535316,223.74904575961688,223.74904575961688,219.72398551142254,186.80901301106005,73.09607659524215,0.07309607659524216,0.6919780134430231,0.32668776909007413,0.32668776909007413,32.66877690900741,0.8313486300198619,phase,,0.8313486300198619,1.4399380659971819,1.1254999999999316,1.4999999999998903,0.4
MIC_AI,0.6919780134430232,144.5132620651305,53.9543127243102,0.373351981356518,0,90.5589493408203,864.7742657280053,0.7470882503518809,122.01079088990946,210.5263954659335,265.2067990809898,265.2067990809898,257.5543364842009,163.7067802819316,62.66480186434821,0.06266480186434821,0.6919780134430232,0.23628655857051165,0.23628655857051165,23.628655857051164,0.9418407207465651,phase,,0.9418407207465651,1.6313159809703415,1.1254999999999316,1.4999999999998903,0.4
FOC,1.0379670201645348,144.5132620651305,50.123577606715784,0.3468441365895239,0,94.38968445841472,901.3550915064573,0.520605391185612,175.7940276930301,303.23714803819263,233.15088219146412,233.15088219146412,228.81377405726127,191.08617615487893,97.97337951157141,0.09797337951157141,1.0379670201645346,0.42021449196625993,0.42021449196625993,42.021449196625994,0.8333897063827433,phase,,0.8333897063827433,1.4434733139598201,1.1254999999999316,1.4999999999998903,0.6
MIC_AI,1.0379670201645348,144.5132620651305,69.44190170339547,0.4805226919042128,0,75.07136036173503,716.8786851721864,0.7931148691561907,115.07247874114485,198.54224972931823,266.6389071273782,266.6389071273782,258.28858166080556,152.49516095853863,77.92159621436807,0.07792159621436806,1.0379670201645346,0.2922364071089727,0.2922364071089727,29.22364071089727,0.9433576866479203,phase,,0.9433576866479203,1.6339434429848387,1.1254999999999316,1.4999999999998903,0.6
FOC,1.3839560268860465,144.5132620651305,59.620774119573866,0.4125626483519793,0,84.89248794555664,810.6635452742687,0.554102659113712,171.005289767609,294.9674980196789,241.94551587113133,241.94551587113133,237.26866374666042,194.5160618885156,117.48747032960415,0.11748747032960415,1.3839560268860465,0.48559474188470636,0.48559474188470636,48.55947418847064,0.834678737675385,phase,,0.834678737675385,1.4457059816512217,1.1254999999999316,1.4999999999998903,0.8
MIC_AI,1.3839560268860465,144.5132620651305,83.23026313324574,0.5759351214128348,0,61.28299893188476,585.2095324502882,0.8392737719775346,108.21337114820831,186.69600593775183,266.57540324317335,266.57540324317335,257.4729731897834,138.940233830525,84.81297571743306,0.08481297571743306,1.3839560268860465,0.3181575444905756,0.3181575444905756,31.81575444905756,0.9449869594036683,phase,,0.9449869594036683,1.636765426177182,1.1254999999999316,1.4999999999998903,0.8
FOC,1.729945033607558,144.5132620651305,67.99395516001982,0.47050322017764507,0,76.51930690511068,730.7055561548499,0.5863226346782137,166.09164238901147,286.4727678053115,249.33876126929704,249.33876126929704,244.30918192013274,196.41629600608283,132.37419495558873,0.13237419495558875,1.729945033607558,0.530900989006754,0.530900989006754,53.0900989006754,0.8362460798521045,phase,,0.8362460798521045,1.4484206979341454,1.1254999999999316,1.4999999999998903,1.0
MIC_AI,1.729945033607558,144.5132620651305,95.46581138153675,0.6606024251152215,0,49.04745068359375,468.3686533409944,0.8849024554496078,101.52856165733765,175.14685796940987,265.04437676341644,265.04437676341644,255.14827466105825,123.3454841222214,84.84939372119463,0.08484939372119463,1.729945033607558,0.3201327821300385,0.3201327821300385,32.01327821300385,0.9466463122269386,phase,,0.9466463122269386,1.639639509574769,1.1254999999999316,1.4999999999998903,1.0
