t,omega,omega_ref,i_rms,p_el,p_mech
0.0005,-0.021624313667416573,125.66370614359174,0.0,0.3465271643130821,-0.0
0.001,-0.04324733093380928,125.66370614359174,0.0012608680233011926,0.3479677730120807,-0.0
0.0015,-0.06486905366182327,125.66370614359174,0.003478452469912443,0.23943770178305757,9.137253865528912e-11
0.002,-0.08648989349603653,125.66370614359174,0.05085723691083793,1.9414943790628856,7.093439917713426e-07
0.0025,-0.10811006277799606,125.66370614359174,0.08787014377498494,-2.9150350202934856,2.227164407991028e-06
0.003,-0.12972533702850342,125.66370614359174,0.00352528786791202,0.4350366239883833,-6.647237203858549e-06
0.0035,-0.15133535861968994,125.66370614359174,0.06671594003023822,-0.41582291920850156,-1.9772200937365067e-05
0.004,-0.17296631634235382,125.66370614359174,0.05335622810784046,-0.323338046465311,5.433586044526211e-05
0.0045000000000000005,-0.19458147883415222,125.66370614359174,0.042018671039894685,-0.18421550977025464,4.6710845210334495e-06
0.005000000000000001,-0.21616901457309723,125.66370614359174,0.04552530326722838,0.38710330952996186,-0.00010865020852293683
0.005500000000000001,-0.2377423346042633,125.66370614359174,0.06967611991093539,-1.1630973097807231,-0.00018098049449820672
0.006000000000000002,-0.25934380292892456,125.66370614359174,0.05070182097618812,0.052584180108454115,-4.459619402471784e-05
0.006500000000000002,-0.2809593081474304,125.66370614359174,0.05499788248729383,-0.013045285964297215,3.7644098762336777e-05
0.007000000000000003,-0.302565336227417,125.66370614359174,0.04760928247512523,-0.3277748795111886,-8.931908211233681e-06
0.007500000000000003,-0.3241523206233978,125.66370614359174,0.04256731970364115,0.2010694581780846,-0.00012452157468740313
0.008000000000000004,-0.3457302451133728,125.66370614359174,0.06632888461522453,-0.9968872965259209,-0.0001866179365316354
0.008500000000000004,-0.3673267662525177,125.66370614359174,0.05513411305649916,0.20824246812955932,-5.2212581391607235e-05
0.009000000000000005,-0.3889276087284088,125.66370614359174,0.06045659033067104,-0.07616465472555611,-1.1447231461551949e-05
0.009500000000000005,-0.4105187654495239,125.66370614359174,0.047248439485093205,-0.4969567887901092,-8.113287749948491e-05
0.010000000000000005,-0.43210431933403015,125.66370614359174,0.03514260617462008,0.1945925769625217,-0.00012262230251999746
0.010500000000000006,-0.45369791984558105,125.66370614359174,0.06481839320022657,-0.7237161104988332,-4.390037809687607e-05
0.011000000000000006,-0.47529366612434387,125.66370614359174,0.06255643580016482,0.36535857224746404,-1.3582449382661277e-05
0.011500000000000007,-0.49687179923057556,125.66370614359174,0.06726630674403397,-0.15656725433384128,-0.00017596065295872015
0.012000000000000007,-0.5184370875358582,125.66370614359174,0.04790718553955087,-0.6597338990876864,-0.00030394113927690187
0.012500000000000008,-0.5400211811065674,125.66370614359174,0.026671395714139692,0.21599654511732905,-9.923828971423793e-05
0.013000000000000008,-0.5616451501846313,125.66370614359174,0.06385618016720232,-0.3995025511830529,0.00035961379617861674
0.013500000000000009,-0.583245038986206,125.66370614359174,0.07056862058822565,0.5680377975126623,0.00010734841940405943
0.014000000000000009,-0.6047913432121277,125.66370614359174,0.07512787876051709,-0.20566875169244953,-0.0005215341143641622
0.01450000000000001,-0.6263179183006287,125.66370614359174,0.05078567812409184,-0.8108825120124021,-0.0007712014287369985
0.01500000000000001,-0.6478988528251648,125.66370614359174,0.01778079849983996,0.23945371318949848,-7.593980123428895e-05
0.01550000000000001,-0.6695671677589417,125.66370614359174,0.06328218222745985,-0.03393225473901473,0.0011082905479201104
0.01600000000000001,-0.6911762356758118,125.66370614359174,0.07878673795218917,0.8243877521858975,0.00034346648563301574
0.01650000000000001,-0.7126811146736145,125.66370614359174,0.08379273322931245,-0.21333141728918747,-0.0011124090528441327
0.01700000000000001,-0.7341545820236206,125.66370614359174,0.055842121834817536,-0.9474748295434481,-0.0015893478997204575
