policy,load_factor,P2_kW,M2_Nm,n2_rpm,I1_A,P1_W,eta_pct,cosphi,cosphi_method
FOC,0.0,0.0,0.0,1380.063116382883,0.2613756583861273,31.01638999794463,0.0,0.1675835368534769,phase
FOC,0.0857142857142857,0.0214296167938027,0.1482810028806478,1380.067321520896,0.266048798351054,53.06570944764728,40.38317214046563,0.2920632420162895,phase
FOC,0.1714285714285714,0.042859202388772,0.2965620057612956,1380.0663169184588,0.2753545971847422,75.72425875174406,56.599038531737214,0.4094792553457083,phase
FOC,0.2571428571428572,0.0642887749150298,0.4448430086419435,1380.0657015093077,0.2894005555438471,98.76213374059115,65.09455849130488,0.5139311674422234,phase
FOC,0.3428571428571428,0.0857178701640722,0.5931240115225914,1380.0577096415636,0.308115304104202,122.37186985383543,70.04703798876018,0.602488355274648,phase
FOC,0.4285714285714286,0.1071462238780014,0.741405014403239,1380.0433635486588,0.3311340798118192,146.884115901503,72.94609306145203,0.677703820571432,phase
FOC,0.5142857142857143,0.1285725358433406,0.8896860172838871,1380.0118847185229,0.3583034046898475,172.00766646467133,74.74814261825252,0.7365567398976206,phase
FOC,0.6,0.1499797039451846,1.0379670201645348,1379.8132762956989,0.3893642677622242,197.95167942476465,75.76581536515194,0.7828586367705669,phase
FOC,0.6857142857142857,0.1665114338853633,1.1862480230451828,1340.4170427771746,0.4199653608570659,220.0194173260962,75.68033581262176,0.8082967951687764,phase
FOC,0.7714285714285715,0.1778583543818701,1.334529025925831,1272.6753357991597,0.4397729429981414,230.51200834698065,77.15795617647258,0.8091027491855095,phase
FOC,0.8571428571428572,0.1881412329936519,1.482810028806478,1211.629540479119,0.4592726939501395,240.6810463759721,78.17035692114835,0.8096529665972738,phase
FOC,0.942857142857143,0.1977910143368776,1.631091031687126,1157.9764839359018,0.4784287008029401,250.97097066527525,78.8103157160257,0.810207047355302,phase
FOC,1.0285714285714287,0.2067021902818987,1.779372034567774,1109.3017545128564,0.4966788488895228,260.62023002983784,79.3116444791081,0.8108376505091222,phase
FOC,1.1142857142857143,0.2150004185379417,1.927653037448422,1065.078996449496,0.5146015552803672,270.10578696898403,79.59859762746585,0.8114244957186789,phase
FOC,1.2,0.2229624392682717,2.0759340403290696,1025.62722063405,0.5322106681783959,279.527009427023,79.76418440754694,0.8117402299028043,phase
MIC_AI,0.0,0.0,0.0,1380.034329849393,0.2617151154242063,30.999676373236085,0.0,0.1672442535260055,phase
MIC_AI,0.0857142857142857,0.0214290823059046,0.1482810028806478,1380.0329005002593,0.2662258366017978,53.14517846152818,40.321780688754615,0.2923192484584581,phase
MIC_AI,0.1714285714285714,0.0428576932354247,0.2965620057612956,1380.017722180678,0.2754517330074613,75.66444052662061,56.64178964007062,0.4090392614317731,phase
MIC_AI,0.2571428571428572,0.0642859774120889,0.4448430086419435,1380.0056484461754,0.2892468362990298,98.69442745062814,65.13638011046567,0.513820868286723,phase
MIC_AI,0.3428571428571428,0.0857146309653833,0.5931240115225913,1380.005558542672,0.3081749993977371,122.5024291870102,69.9697398118798,0.6033252451125092,phase
MIC_AI,0.4285714285714286,0.1071426562170708,0.7414050144032392,1379.9974120758727,0.3309860763815498,146.77106336904683,72.99985007785031,0.677493879747871,phase
MIC_AI,0.5142857142857143,0.1285695707301028,0.8896860172838872,1379.9800591697708,0.3585495033734829,171.88740916946435,74.79871350166533,0.7356087484298296,phase
MIC_AI,0.6,0.1499852084837261,1.037967020164535,1379.8639180502807,0.3891323336558521,197.83205550800577,75.81441142012329,0.7828859370819675,phase
MIC_AI,0.6857142857142857,0.1697135036410814,1.1862480230451824,1366.193704310706,0.4374216073436714,234.81046593753243,72.27680544964764,0.8297038398154694,phase
MIC_AI,0.7714285714285715,0.1752950625610611,1.3345290259258302,1254.3335587702595,0.4366091720984764,226.42307017318456,77.41925874734537,0.8001654121546292,phase
MIC_AI,0.8571428571428572,0.1854539575970014,1.4828100288064785,1194.323486924689,0.4559975045588176,236.45694767961444,78.43032713434195,0.8006052257572532,phase
MIC_AI,0.942857142857143,0.1947981740013137,1.631091031687126,1140.4547641531456,0.4748718399662561,246.2915502399524,79.09251202955575,0.8012338653011415,phase
MIC_AI,1.0285714285714287,0.203682639156941,1.7793720345677737,1093.0968301422502,0.4932248278642046,256.12116579530425,79.52589100727704,0.8019072467230646,phase
MIC_AI,1.1142857142857143,0.2118413073031085,1.9276530374484215,1049.4292454092456,0.5110061754747389,265.38833073255176,79.82314320993795,0.802509572970037,phase
MIC_AI,1.2,0.2195456474545079,2.0759340403290696,1009.9099782907364,0.5284003430001168,274.5928976402243,79.9531413016224,0.803239539437525,phase
