mode,controller,avg_power_saving_pct_mean,avg_power_saving_pct_std,avg_power_saving_pct_min,avg_eta_gain_pct_mean,avg_eta_gain_pct_std,avg_eta_gain_pct_min,err_failures_mean,err_failures_max,start_stop_power_saving_pct_mean,start_stop_power_saving_pct_min,air56_mean_pass,air56_worst_case_pass,stable_vs_previous,table_sha256
mode1_foc_encoder_vs_mic_sensorless,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
mode1_foc_encoder_vs_mic_sensorless,FOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
mode1_foc_encoder_vs_mic_sensorless,MIC,0.3563105415123084,0.6717262068799748,-1.5100636869465611,0.10707040915362713,0.20732824025145297,-0.03097187755816133,0.26666666666666666,1.0,1.3907163100111133,-6.012616631514289,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
mode2_foc_sensorless_vs_mic_sensorless,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
mode2_foc_sensorless_vs_mic_sensorless,FOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
mode2_foc_sensorless_vs_mic_sensorless,MIC,0.3563105415123084,0.6717262068799748,-1.5100636869465611,0.10707040915362713,0.20732824025145297,-0.03097187755816133,0.26666666666666666,1.0,1.3907163100111133,-6.012616631514289,True,False,,223f3115313d732b004a54b381accadd33837405288358432257e2389a2610b1
