mode,controller,avg_power_saving_pct_mean,avg_power_saving_pct_std,avg_power_saving_pct_min,avg_eta_gain_pct_mean,avg_eta_gain_pct_std,avg_eta_gain_pct_min,err_failures_mean,err_failures_max,start_stop_power_saving_pct_mean,start_stop_power_saving_pct_min,air56_mean_pass,air56_worst_case_pass,stable_vs_previous,table_sha256
mode1_foc_encoder_vs_mic_sensorless,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
mode1_foc_encoder_vs_mic_sensorless,FOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
mode1_foc_encoder_vs_mic_sensorless,MIC,-123.8325925541881,152.11208073412405,-442.5968482034255,-24.00345119494337,28.584634292606236,-78.99910029762407,3.6,4.0,-66.943039217228,-377.14308980017773,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
mode2_foc_sensorless_vs_mic_sensorless,PI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
mode2_foc_sensorless_vs_mic_sensorless,FOC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
mode2_foc_sensorless_vs_mic_sensorless,MIC,-123.8325925541881,152.11208073412405,-442.5968482034255,-24.00345119494337,28.584634292606236,-78.99910029762407,3.6,4.0,-66.943039217228,-377.14308980017773,False,False,,87856fd588767c1607c51988808dacbfa205b6d83b3c1ae6131064bc93da66a4
