motor,policy,load_factor,p2_kw_model,p2_kw_nameplate,p2_kw_delta_pct,i1_a_model,i1_a_nameplate,i1_a_delta_pct,n2_rpm_model,n2_rpm_nameplate,n2_rpm_delta_pct,eta_pct_model,eta_pct_nameplate,eta_pct_delta_abs,cos_phi_model,cos_phi_nameplate,cos_phi_delta_abs,checkpoint_used,omega_ref_pu_used,load_csv,nominal_proxy_used,nominal_proxy_abs_err
air56,FOC,1.0,0.1323741949555887,0.25,-47.05032201776452,0.5863226346782137,0.7,-16.239623617398042,730.7055561548499,1380.0,-47.0503220177645,53.0900989006754,75.0,-21.9099010993246,0.8362460798521045,0.68,0.15624607985210448,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260320_postrestore_ai_ep008_eta60pin\raw\air56\load_characteristics.csv,False,0.0
air56,MIC_AI,1.0,0.0848494012003067,0.25,-66.06023951987731,0.8849024503511257,0.7,26.414635764446533,468.3686946256934,1380.0,-66.06023951987729,32.01327890576945,75.0,-42.98672109423055,0.9466463412427568,0.68,0.26664634124275677,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_air56_025kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260320_postrestore_ai_ep008_eta60pin\raw\air56\load_characteristics.csv,False,0.0
al31,FOC,1.0,0.5767708609707767,0.6,-3.8715231715372167,1.612588615299981,1.7,-5.141846158824639,1336.185827915633,1390.0,-3.8715231715372016,64.08812785205401,78.0,-13.911872147945985,0.8557911775551732,0.74,0.11579117755517321,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260320_postrestore_ai_ep008_eta60pin\raw\al31\load_characteristics.csv,False,0.0
al31,MIC_AI,1.0,0.5787824138626015,0.6,-3.536264356233073,1.6670037805791271,1.7,-1.9409540835807548,1340.84592544836,1390.0,-3.53626435623309,62.58786425318365,78.0,-15.412135746816347,0.8504286228018534,0.74,0.1104286228018534,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_al31_4_06kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260320_postrestore_ai_ep008_eta60pin\raw\al31\load_characteristics.csv,False,0.0
ao2,FOC,0.8,0.1236736810880899,3.0,-95.87754396373033,17.387714565078834,7.2,141.49603562609494,63.91952997469166,1430.0,-95.5301027989726,5.575899458979947,84.0,-78.42410054102005,0.3273242361341625,0.82,-0.49267576386583745,C:\mic_theory\outputs\ai_id_ref\checkpoints\env_research_ao2_32_4_3kw\best_actor.pth,1.0,C:\mic_theory\paper\ieee_2026\data\passport\20260320_postrestore_ai_ep008_eta60pin\raw\ao2\load_characteristics.csv,True,0.19999999999999996
