scenario,controller,speed_error,current,switches,feedback,fallback,failures,safety_worst
start_no_load,protected_ai_pwm_h1_proxy,83.95663787104598,1.1479406671507644,19.0,0.9833333333333333,0.0,0,0.0
start_no_load,fcs_mpc_one_step_baseline,83.88886817417662,2.0565076724291234,11.333333333333334,1.0,0.0,0,0.0
start_no_load,foc_svm_key_baseline,83.70108224722772,1.4604333830369347,22.0,1.0,0.0,0,0.0
start_no_load,dtc_hysteresis_proxy,84.00794252686164,1.5240385532115095,46.666666666666664,1.0,2.0,0,0.0
start_no_load,dtc_svm_proxy,83.98508571326367,1.595162604232623,22.333333333333332,1.0,0.0,0,0.0
start_no_load,deadbeat_current_proxy,84.0368670283766,0.28530052238338827,75.0,1.0,2.0,0,0.0
start_no_load,sensorless_adaptive_foc_proxy,84.01500736594984,1.0723115275847575,30.0,0.9166666666666666,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h2,84.00969075727026,1.3561759172463226,27.333333333333332,0.9833333333333333,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h3_thermal,84.01600994947616,1.1718939904999681,32.0,0.9833333333333333,0.0,0,0.0
start_no_load,safe_neural_horizon_pwm_h4_sparse,83.87597935052861,2.443587816280095,20.333333333333332,0.8833333333333333,7.666666666666667,0,0.0
start_with_load,protected_ai_pwm_h1_proxy,84.1104618138623,1.1890688842095942,25.0,0.9833333333333333,0.0,0,0.0
start_with_load,fcs_mpc_one_step_baseline,84.0100667329594,2.207282554533416,9.666666666666666,1.0,0.0,0,0.0
start_with_load,foc_svm_key_baseline,84.03668846138864,1.5350297835818214,21.333333333333332,1.0,0.0,0,0.0
start_with_load,dtc_hysteresis_proxy,84.07855812112707,1.7171165101683512,39.333333333333336,1.0,3.3333333333333335,0,0.0
start_with_load,dtc_svm_proxy,84.069983545137,1.537168443445191,19.333333333333332,1.0,0.0,0,0.0
start_with_load,deadbeat_current_proxy,84.1502223122488,0.29429719161716666,74.33333333333333,1.0,3.3333333333333335,0,0.0
start_with_load,sensorless_adaptive_foc_proxy,84.68517951771628,1.1148496212770265,30.333333333333332,0.9166666666666666,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h2,84.2158869748279,1.2021119461848475,27.0,0.9833333333333333,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h3_thermal,84.08542570853422,1.3239592257779675,30.666666666666668,0.9833333333333333,0.0,0,0.0
start_with_load,safe_neural_horizon_pwm_h4_sparse,84.00986732108443,2.489060185779987,16.333333333333332,0.8833333333333333,10.333333333333334,0,0.0
ramp_to_rated,protected_ai_pwm_h1_proxy,92.07750434617746,1.2616071840935845,26.333333333333332,0.9666666666666667,0.0,0,0.0
ramp_to_rated,fcs_mpc_one_step_baseline,92.01226304078648,1.8966299879352553,13.0,1.0,0.0,0,0.0
ramp_to_rated,foc_svm_key_baseline,92.00414223789107,1.3691625597380055,18.666666666666668,1.0,0.0,0,0.0
ramp_to_rated,dtc_hysteresis_proxy,92.00368252965082,1.7569789593924152,38.0,1.0,1.0,0,0.0
